arg_id	arg_text	arg_guideline	post_id	post_topic
25	More families were moving to a city environment. 	US familial migration patterns in early 20th century	142294	abortion1
26	The congress has to make the law saying you cant run a stop light. 	does Congress control traffic laws	177218	abortion1
27	I fear that a 15 year old who was raped and made to give birth would choose to keep the baby and basically end her childhood there. 	rape and abortion 	31852	abortion1
28	I thought the Catholic Chruch reasoning was the replenish the earth verse in the Bible but now that I think about it I'm not sure about that either. 	Find Catholic Church reasoning against abortion	20844	abortion1
29	Judges can't create law at all....thats how we set it up. 	role of judges in the creation of laws	177218	abortion1
30	"Libertarian ideology centers around a belief in negative government - a government that can effectively protect its citizens from rapists	 murderers	 thieves	 etc. "	doe libertarian ideology center around a belief in negative government	174613	abortion1
31	"The main opposition comes from the theocrats in the Vatican	 who regardless of any reason of why women have abortions	 oppose it and even more so here in America then any other. "	views towards abortion within the Catholic church and the US	100654	abortion1
32	ALL women are harmed by pregnancy. 	how many women are harmed by pregnancy	186840	abortion1
33	Humans have a soul. 	if humans have souls that live on after death	63971	abortion1
34	You said point blank that without religion there would be no laws. 	separation of government and religion 	29145	abortion1
35	Over 1.3 million children were killed in America in 1997 alone and no one did anything about it. 	number of children who died in America in 1997	50410	abortion1
36	"My Uncle was the product of rape (I think) and I like him. He's good. So	 if that baby had been my uncle	 I would say that in a ""remote way that thing inside"" you was good	 in a way. "	product of rape	165315	abortion1
37	If you know all there is to know about sex then you also know that the only method of birth control that is 100% effective is abstinence. 	birth control with 100% effective rate	118930	abortion1
38	Either the unborn is human and has this right or it is 'something else' and it has no rights. 	does an unborn fetus have rights	49939	abortion1
39	A life is lost when an abortion occurs. 	at what point during pregnancy a child exists	29145	abortion1
40	Studies have shown that nordic and specific middle european countries that provide protection and rigerous sex education as well as local information about planned parent hood and the birthcontrol pill have a teenbirthrate of 1% where i believe ours is something like 17%. 	what is the teenbirthrate in nordic and middle european countries	44610	abortion1
41	In fact when you die different parts of your body die at different times as well. 	whether the body dies all at once or different parts at a time	57451	abortion1
42	I have also heard of cases where a father did sign away parental rights but the woman sued him for child-support later. 	Find if a woman can sue for child support if a father signed away parental rights	100016	abortion1
43	"To clarify	 murder is the unprovoked killing of another human being. "	is murder the unprovoked killing of another human being	78562	abortion1
44	There is no definite age of viability during pregnancy. 	the age of viability during pregnancy	78493	abortion1
45	"So	 um	 Steeeeve	 you are saying	 ""logically	"" that ""we didn't have abortion before 1973."" "	the year the first abortion was performed	188001	abortion1
46	"I believe abortion is justified whether or not 'health' is cited as a reason. Actually	 carrying a child to full gestation reduces your chances as well as breastfeeding. "	carrying a child to full term id like?	186864	abortion1
47	ROCC -- What you seem to be suggesting here is that the bible dictates that abortion is wrong and that there are no other possible interpretations of the bible. 	the Bible's stance on abortion	86547	abortion1
48	We have already discussed this and agreed that neither of us know of a case where someone has been brought back to life after being declared brain dead based on the accepted test that doctors use to determine if someone is brain dead. 	has someone been brought back to life after being declared brain dead	52791	abortion1
49	"You can NOT have sentience and or sapience without fully functioning brain.Brain Waves measure the function of the brain.Fetuses before 22-24 weeks do NOT have the brain wave patterns associated with consciousness.No Consciousness 	no sentience nor sapience.So it's pretty safe to assume. "	when fetus brainwave patterns show consciousness	188481	abortion1
50	"With the advent of DNA testing they are discovering that many of the people on death roll are innocent and more of them are black as well.â€  Theyâ€™ve placed it on halt not because there are a huge number of wrongfully convicted people	 but because just ONE is important and they want to be sure. "	reasons why states are outlawing the death penalty	57470	abortion1
51	The only reason why they think that Saddam had WMD is because most of them the USA sold to Saddam years ago. 	evidence the USA presented to argue that Saddam Hussein had weapons of mass destruction	57470	abortion1
52	"Crim	  Are you are an atheist? May I ask? If so	 do you espouse the theories of materialistic evolution? "	theories of materialistic evolution 	29155	abortion1
53	It is also to be noted that in the historically Roman Catholic family of the Kennedys there was also a historically prominent tendancy for male Kennedys to engage in a great number of extramarital affairs owing to the male-dominant Roman Catholic culture in which they were brought up which forbade female sexual pleasure but gloried in the male gender cavorting around as much as possible. 	the history of extramarital affairs in the Kennedy family	187980	abortion1
54	"LMAO	 so a 1 day old baby INSTANTLY has the ability to think and ""conceive"" of something? I've had three and honestly	 I don't buy the ""romanticized"" idea that the baby looks lovingly into it's mothers eyes. It's on instinct mode and wants food	 it isn't cognitively thinking that the mother is giving it food "	does a 1 day old baby have the ability to cognitively think	109013	abortion1
55	"I have seen nothing to indicate that the advent of ""safe-sex"" practices including the introduction of the birth-control pill have done anything to reduce teenage pregnancy	 unwanted pregnancy in general	 or STD. "	if safe sex education has helped reduce teen pregnancies	148781	abortion1
56	"Legally	 the Death Penalty is not murder. Morally	 it can be. Abortion on the otherhand is the intentional killing of an innocent human being. "	abortion is on the otherhand 	78488	abortion1
57	"â€œYou believe that DNA is what makes us a human being.â€  When did I say this? "	the effects that DNA has on our human traits and the way we carry ourselves 	50069	abortion1
58	"They also offer birth control	 gynecological care	 STD testing	 infertility testing	 sexual education counseling	 prenatal care	 adoption referrals.. "	planned parenthood procedures	66916	abortion1
59	abortions that occur due to complications or medical risks to the mother or child make up less than 5% of the total. 	how often abortions are performed due to complications or medical risks	186768	abortion1
60	"With the assumption that the unborn human entity deserves personhood (which is a perfectly valid assumption)	 then abortion removes control of the bodies and lives from over 1.4 million individuals each year in the U.S.A. "	how many babies are born in the USA every year	86437	abortion1
61	"A question	 if we have laws in place that go against post birth abortion	 why would it not make sense to make laws against pre-birth abortion. "	legal justifications for allowing abortion	31830	abortion1
62	Perhaps it would make sense to do that in the case of a potential abortion? 	laws regarding legal guardianship for fetuses	31830	abortion1
63	"They don't have a maternity ward at Planned Parenthood because they aren't a hospital	 and you can go to your own hospital to have an ultrasound done	 but if a clinic does an abortion themselves	 they have to do an ultrasound first	 to determine how far along the pregnancy is	 because there are different procedures for different amounts of weeks. "	planned parenthood ultrasound	66916	abortion1
64	"I could simply reply that pregnancy is preventable	 that it is not a permanent condition and if one is patient it will end with the child's birth. "	pregnancy always ending in birth	142284	abortion1
65	The USA is a CHRISTIAN NATION and all other beliefs are subservient to that. 	influence of Christianity on American politics 	55650	abortion1
66	This is related to chance of survival outside the womb. It is approx. 25 weeks. 	when a fetus has a chance of survival outside the womb	64006	abortion1
67	"Now	 with gene engineering they can splice human genes into other animals. "	gene engineering humans to animals	52701	abortion1
68	"For instance	 there's a rather infamous scandal where troubled children in an orphanage were used as test subjects for a Hepatitis immunization. "	orphanage hepatitis immunization trial 	86509	abortion1
69	I am saying that it is an instinct inherent in the animal kingdom to protect the young of your own species (at least in higher order animals). This is a generally accepted by most animal behavior experts that I am aware of. 	Parenting differences between domestic and wild cnaines	160260	abortion1
70	"However	 since the fetus hasn't developed a mind yet	 we rely on DNA to judge if it's human or not. "	does a fetus have a developed mind	60390	abortion1
71	"I didn't mean to imply that they are a modern day convenience	 but abortions were certainly not performed on the scale that they are performed today. "	whether abortions were performed at the same rate in the past as they are today	86452	abortion1
72	But most people have abortions because their not ready for a kid or they dont want it and I think that is wrong! 	most common reason for abortions	103911	abortion1
73	"Yes	 a domestic bitch will eat a weak pup. Odlly enough wild dogs rarely do this (the exception is generally a pup that either will not survive or in cases weher ethere is not enough food available to sustain the enitre litter	 which generally menas the pup will not survive anyway. "	Parenteing differences between wild and domestic canines	160260	abortion1
74	"As for it being   considered murder that is non-sense. "	should abortion be considered murder	156588	abortion1
75	Under the law it has very few rights and they are supercede by the mother's. 	fetus rights in comparison to mothers	50048	abortion1
76	Abortion is already outlawed in the US. 	legality of abortions in the US	328	abortion1
77	"The so called ""Healthy white infants"" make up 70% of all adoption cases	 seeing that 30% of abortion are done by blacks	 and latinos and most minorities don't have abortions	 but instead keep their children. "	racial demographics of adoption cases and racial demographics of abortion	16909	abortion1
78	"However	 killings were justified in the Bible. "	The Bible and Violence	188026	abortion1
79	"R vs W is not a law	 it's an agreement for the Gov. to stay out of our reproductive lives. "	Exact judgement details of the Roe vs. Wade ruling	328	abortion1
80	"The morning after pill prevents implantation	 so that would qualify as an abortion under that definition (I think). "	the side effects of a morning after pill and if it prevents implantations	50447	abortion1
81	"Muslim	 Christian and Jew co-existed in an environment of discovery and peace in Muslim Spain. "	"history of religious relations between muslims	 christians	 and jews throughout history"	165545	abortion1
82	"Constitutionally	 the child is protected once it is born and can be taken away from a mother who has no desire to care for it. "	laws on American newborn abandonment rights	108954	abortion1
83	"""Murder"" is the illegal killing of a person	 and thus does not apply to abortions. "	the definition of murder	86521	abortion1
84	"Estimates of about 4	000 per day. "	number of abortions performed each day	103763	abortion1
85	A fetus is not a person. 	"is a fetus a person and able to feel	 think etc"	52801	abortion1
86	"I believe the actual statistic was done in a 1999 survey	 where 65% of abortions were done in the first trimester (first three months). "	abortion statistics 	52574	abortion1
87	"In China	 they have such a problem	 not only do you have to be given the nod from the government to have a child	 if you do so without their consent	 you are required to abort! "	abortion obligations within China's Single Child law 	49990	abortion1
88	"Morals are the set of actions deemed appropriate by society and individuals through personal experience	 thought	 and feelings. "	what a morals	14883	abortion1
89	"In my Bible it says that the baby moved when Elizabeth heard Mary's voice	 and it was Elisabeth who interpreted this as a ""leap of joy"". "	the passage in the bible referenced	63989	abortion1
90	"LOL  Ovulation only gives you a better CHANCE of becoming pregnant	 doesn't predict that you WILL be. "	Ovulation and pregnancy effects	78555	abortion1
91	"I see you conveniently left out that you first stated that it was the supreme court	 then you said the legislature had decided that blacks were Â¾ human. "	a record of supreme court cases	52858	abortion1
92	"You say that pre-natal care is a big service in Planned Parenthood	 I say it is not common and only in certian clinics	 then you just rely on mizmax for support? "	Planned Parenthood prenatal care services 	66948	abortion1
93	PASS exists insofar as PTSD exists and it isn't recognised by any independent medical body. 	PASS in the DSM	50306	abortion1
94	"So when the baby's head is forming	 that technically means that it is forming for the brain. "	fetus formation inside womb	20712	abortion1
95	"BTW you are pretty ignorant of American History. It was three-fifths	 not three-quarters	 and it is in our constitution which was written by our founding fathers	 not enacted by legislation. "	3/5 policy in American history	52850	abortion1
96	"We do not understand how or why people go into a coma	 but science now believes that it is partly due to chemical disturbance at the neural junction after sudden injury	 temporary negation of the action potential at the neural junction	 or both. "	reasons people fall into coma	49959	abortion1
97	First of all rape is one of the most under-reported crimes so it makes sense that abortion due to rape/incest is also under-reported so that makes your assumptions and numbers off.But of course you are missing the whole point.You are not the one being raped so it isn't YOUR choice.I don't need you making choices for me or telling me what is and isn't good for my emotional health.If one gets raped and DOES NOT want to be pregnant who are you tell them they have to be? 	is rape one of the most under reported crimes	188425	abortion1
98	"The point is	 this is reversible. "	reversible effects of a coma	49959	abortion1
99	A mixture of two different species is called a hybrid. 	genetic hybrid definition	14936	abortion1
100	"A fetus is a blank slate	 it doesn't even have the chalk needed to even start writing on it. "	does a fetus have a mind	60411	abortion1
101	While I am at a loss for the article I do believe there have been cases of the women dieing but the baby still alive inside of her....point being the baby is still inside yet not supported by the mother. 	can babies survive the death of the mother during pregnancy	50339	abortion1
102	Since sex is only for reproduction according to many Christians and birth control is a sin. 	do christians consider birth control a sin	52930	abortion1
103	"It is neither a human being	 nor does it experience pain. "	studies on if a fetus can experience pain	50165	abortion1
104	I tallied them up and 91.8% of the abortions are because the mother does not want the baby. 	are over 90 percent of abortions because the mother does not want the baby	78945	abortion1
105	And they were tracked....atleast in 1972 :p 	number of deaths from illegal abortions in 1972	50339	abortion1
106	"Still waiting for your proof that abortion is ""harmful"" to the woman. "	is abortion harmful to women	180846	abortion1
107	Rarely is pregnancy physically harmful and even rarer is it life threatening. 	statistics on births and related maternal health complications/deaths	186772	abortion1
108	most states still have laws that say abortion is illegal....they just cant enforce them because the supreme court would strike it down as unconstitional. 	state laws that ban abortion 	177168	abortion1
109	An embryo and fetus who's organs are not complete and who's entire system is dependant on another's organs is different than a born person's ability to sustain his or her own life. 	embryo development and dependency	108896	abortion1
110	"However	 the caucasian population is shrinking. "	Caucasian population numbers	82841	abortion1
111	"At conception	 the zygote has 46 chromosones (unless it has down's syndrome)	 and it's own	 unique	 DNA (unless it has a twin or clone). "	zygote dna	50116	abortion1
112	A zygote and a baby to me are the same thing. I wouldn't tell someone to kill either. Both are equal. 	is a baby the same as a zygote	173890	abortion1
113	"You need to have 2.9 children in order to reproduce the population	 but almost all of the European nations and the US arn't even producing that many. "	Birth rates in European nations and the US	82841	abortion1
114	"Yes	 because it follows the criteria for lie; it metabolizes	 reproduces	 grows	 and stimulates. "	biological definition of being alive 	50116	abortion1
115	"If you were correct	 then the courts wouldn't hear cases from people who sue the Navy on behalf of marine animals who were (allegedly) injured or killed by naval sonar testing. "	does the courts hear cases from people who sue the navy on behalf of marine animals	100620	abortion1
116	"In the abortion case	 I believe that the emotional trauma would be less than if the baby was given up for adoption when it was born. "	is trauma less if baby given up for adoption than abortion	108896	abortion1
117	"Frontal lobes and related areas	 gives you personality	 activity is measured in non-random eletrical activity in those regions. "	what the frontal lobe of the brain controls and how it is measured	78950	abortion1
118	"Most mentally retared individuals do show it	 but some don't and oxygen deprivation depends on what is damaged and how badly. "	brain activity in the mentally retarded 	78950	abortion1
119	"""A skin scraping cannot develop into a human being""  Neither do zygotes. "	can a skin scraping develop into a human being	100605	abortion1
120	Zygotes only form into a type of cell. Never a human being. 	do zygotes form into a human being	100605	abortion1
121	All I am saying is that the things that are offered through PP are also usually offered by a regular medical doctor. 	are Planned Parenthood services offered by regular doctors	66937	abortion1
122	Just as many women are pro-life. 	how many women are pro-life compared to men	165332	abortion1
123	"""Once this course is set on its path (the sperm has fertilized the egg) then it has become an independent form of human life."" "	once a sperm has fertilized an egg has it become an independent form of life	100605	abortion1
124	At it's first ideal...pro-choice is about the woman having self-right over her body. 	the goal of the pro-choice position	165303	abortion1
125	"Consider	 though	 that a parent who abandons a newborn in a dumpster can be prosecuted. "	laws against abandoning one's child 	86476	abortion1
126	"Judicial Branch got judical powers...says so right there in the constitution	 I don't make this stuff up. "	Constitution place that says that judicial branch has judicial  powers	50409	abortion1
127	"Parents are legally liable for everything their children do	 so yes	 that decision should be theirs. "	Find laws and regulations regarding parents' legal liability for their minor children's debts in order to support of refute the highlighted text.	192056	abortion1
128	"These are the normal	 frequent or expectable temporary side effects of pregnancy:   -- exhaustion (weariness common from first weeks)   -- altered appetite and senses of taste and smell   -- nausea and vomiting (50% of women	 first trimester)   -- heartburn and indigestion   -- constipation   -- weight gain   -- dizziness and light-headedness   -- bloating	 swelling	 fluid retention   -- hemmorhoids   -- abdominal cramps   -- yeast infections   -- congested	 bloody nose   -- acne and mild skin disorders   -- skin discoloration (chloasma	 face and abdomen)   -- mild to severe backache and strain   -- increased headaches   -- difficulty sleeping	 and discomfort while sleeping   -- increased urination and incontinence   -- bleeding gums   -- pica   -- breast pain and discharge   -- swelling of joints	 leg cramps	 joint pain   -- difficulty sitting	 standing in later pregnancy   -- inability to take regular medications   -- shortness of breath   -- higher blood pressure   -- hair loss   -- tendency to anemia   -- curtailment of ability to participate in some sports and activities   -- infection including from serious and potentially fatal disease (pregnant women are immune suppressed compared with non-pregnant women	 and are more susceptible to fungal and certain other diseases)   -- extreme pain on delivery   -- hormonal mood changes	 including normal post-partum depression   -- continued post-partum exhaustion and recovery period (exacerbated if a c-section -- major surgery -- is required	 sometimes taking up to a full year to fully recover)   These are the normal	 expectable	 or frequent PERMANENT side effects of pregnancy:   -- stretch marks (worse in younger women)   -- loose skin   -- permanent weight gain or redistribution   -- abdominal and vaginal muscle weakness   -- pelvic floor disorder (occurring in as many as 35% of middle-aged former child-bearers and 50% of elderly former child-bearers	 associated with urinary and rectal incontinence	 discomfort and reduced quality of life)   -- changes to breasts   -- varicose veins   -- scarring from episiotomy or c-section   -- other permanent aesthetic changes to the body (all of these are downplayed by women	 because the culture values youth and beauty)   -- increased proclivity for hemmorhoids   -- loss of dental and bone calcium (cavities and osteoporosis)   These are the occasional complications and side effects:   -- hyperemesis gravidarum   -- temporary and permanent injury to back   -- severe scarring requiring later surgery (especially after additional pregnancies)   -- dropped (prolapsed) uterus (especially after additional pregnancies	 and other pelvic floor weaknesses -- 11% of women	 including cystocele	 rectocele	 and enterocele)   -- pre-eclampsia (edema and hypertension	 the most common complication of pregnancy	 associated with eclampsia	 and affecting 7 - 10% of pregnancies)   -- eclampsia (convulsions	 coma during pregnancy or labor	 high risk of death)   -- gestational diabetes   -- placenta previa   -- anemia (which can be life-threatening)   -- thrombocytopenic purpura   -- severe cramping   -- embolism (blood clots)   -- medical disability requiring full bed rest (frequently ordered during part of many pregnancies varying from days to months for health of either mother or baby)   -- diastasis recti	 also torn abdominal muscles   -- mitral valve stenosis (most common cardiac complication)   -- serious infection and disease (e.g. "	side effects of pregnancy	186780	abortion1
129	There are actually negative physical and emotional/psychological consequences that accompany abortion. 	Find Medical proof that there are negative physical consequences from having an abortion 	68363	abortion1
130	The truth about rape is that one in three woman will be raped. 	what ratio of women will be raped	100052	abortion1
131	There is nothing in the Bible saying we have to pump out our kids and then stop enjoying sexual intimacy. 	does the bible condemn enjoying sexual intimacy	103802	abortion1
132	nerves execute one function: transfering information from the brain to the body and back. 	the functions of nerves	118889	abortion1
133	"When we're speaking in terms of abortion	 it is still quite legal	 so while 'right' and 'wrong' are still up for debate in forums such as this	 the legal opinion is quite clear. "	is abortion legal	59003	abortion1
134	"The chances of dire consequences from pregnancy are rare	 usually predictable and treatable. "	Find medical evidence that the chances of dire consequences from pregnancy are rare	100729	abortion1
135	"now i'm not saying that i know a 1 week old fetus can feel pain	 but it is evident that at 1 week the nervous infrastructure is already there	 and it is very likely that pain-sensitive nerves would be among the first to develop. "	pain-sensitive nerves in 1 week old fetuses	118889	abortion1
136	Thats right the good old USA is killing ONE THIRD OF THE CHILDREN!! 	what amount of pregnancies end in abortion	51574	abortion1
137	There is three million people waiting for your beautiful child. 	the number of people in the United States who want to adopt	51574	abortion1
138	"actually	 not going through the full term pregnancy	 by any means	 increases breast cancer risk. "	breast cancer risks associated with abortions	118889	abortion1
139	If you do not think this is an epidimic then why have thirty million children been killed scince they first legalized abortion in 1973? 	the number of abortions performed since 1973	51574	abortion1
140	"i admit that miscarriages are one way that a pregnacy can be interupted	 but more commonly is abortion. "	number of miscarriages in a year versus the number of abortions in a year	118889	abortion1
141	"However	 I do know that the heart begins to beat quite early in fetal development...long before birth. "	at one point in pregnancy the heart begins to beat 	158834	abortion1
142	They protest against the Catholic Church. They broke away from the original Church after 1500 years. 	history of protestantism	165508	abortion1
143	I can shoot my horse or put my dog to sleep just about any time I like. 	can you shoot a horse or put down a dog for any reason	156805	abortion1
144	"Per the Constitution all ""people"" are seen as ""endowed"" at birth with a ""right to life	 liberty and the pursuit of happiness"". "	does the constitution say all people are endowed at birth with rights	156805	abortion1
145	"And their protest has led to 33	000 different denominations	 each with its own version of Christianity. "	history of the formation of Christian denominations	165508	abortion1
146	I have spent seven years doing research in abortion on both sides and I have never read a single account of a single woman having an abortion because her belly would get big. 	abortion laws	100690	abortion1
147	The Catholic Church has always taught that abortion is wrong. 	statements from the Catholic Church regarding abortion	165508	abortion1
148	"Constitutionally	 the child is protected once it is born and can be taken away from a mother who has no desire to care for it. "	the place in the constitution that says a child can be taken away from a mom who doesn't want to take care of the child	108954	abortion1
149	You mean the truth of thousands of young teen girls dead with a coat hanger in hand? 	the number of teenage deaths resulting from coat hanger abortions	51608	abortion1
150	Although baby is usually used as a term after birth and that is what Habbit thought Gilligan meant. 	birth definitions	20785	abortion1
151	"At 8 weeks	 it is less than 1/2 an inch long. "	are fetuses less than a half inch long at 8 weeks	14900	abortion1
152	I think the technical term fetus applies all the way up to birth after it has stopped being an embryo. 	how long the term fetus applies	64034	abortion1
153	"Again	 people who do not have the fetus in their womb can only give their opinion. "	abortion laws	52797	abortion1
154	And yet the parents would absolutly be held responsible for the medical bills should there be problems or complications. 	Find whether parents' are legally responsible to pay for medical decisions made by their minor children when the parents did not consent.	192056	abortion1
155	"The reality for most women is that they will get little or no support in the care of this child once born	 not to mention the fact that they are the only one who can carry it for the next few months. "	child poverty statistics	52797	abortion1
156	"So-called ""Partial Birth"" Abortions are so rare as to be negligible. "	average number of partial birth abortions in a year	55655	abortion1
157	The abortion is basically sucking the bean-sized embryo out of the uterus. 	is the process of abortion sucking the embryo out of the uterus	14900	abortion1
158	I don't see how you can possibly argue that people who tortured and massacred other people had a good influence on them. 	historical records of Cortez's interactions with the Aztec people	53070	abortion1
159	What about when you are knowledgeable about types of birth control and STDS and your birth control method fails? 	birth control failure rates	118929	abortion1
160	"Furthermore	 the embryo is not conscious and is completely unaware of whatever might be occuring to it. "	do embryos possess consciousness	14900	abortion1
161	Of course the Catholic Church doesn't like it. 	Catholic doctrine on masturbation 	50289	abortion1
162	"Even if the Aztecs had practiced ritual sacrifice	 that would still make them less ""savage"" by far than the Spanish	 who amused themselves by impaling people. "	records of Spanish impalings	53070	abortion1
163	"Well	 looking at it from a taking a life perspective (and you have agreed that the fetus IS a life)-it's much easier for me to kill a person if I don't have to look them in the eye	 so yes	 the emotion that occurs that could stop you from taking a life is probably a good thing  LMAO don't hold your breath :p The fact still remains that in MOST cases it's NOT necessary for the mother to abort (necessary in terms of life threatening)  [/QUOTE]  No sweat	 but I can assure you that IF you ever ""get"" me	 I'll give you all the credit you deserve :-D "	how often abortion is performed due to the risk to the mother's life 	103852	abortion1
164	We currently have laws protecting fetuses (feti?) 	laws that protect a fetus	103656	abortion1
165	"Actually I believe life begins at conception	 that that life matters and abortion ends that life. "	does life begin at conception	177125	abortion1
166	"Hitler did actually use the reserve system as inspiration for his plans for the extermination of Jewish peoples	 as did the Afrikaners use the reserves as a model for the South African Apartheid township system. "	Statements from Hitler and Afrikaner leaders referencing the reserve system	53070	abortion1
167	"The Germans understood this by posting more than twice the number of divisions against them	 as they had facing all the westerners combined. "	German army distribution on the Western and Eastern Front during World War II	53015	abortion1
168	"One of the 3000 or so aborted babies a day	 could have found the cure for AIDS or another disease. "	are 3000 babies aborted each day	31813	abortion1
169	"You're the one	 Hank who suggested that one thing the world owes the USA is WWII	 as if you're the only ones who did anything 'significant'  The Soviet Union expended vastly more men against the Germans. "	American casualties versus Soviet casualties during the Second World War	53015	abortion1
170	"It happens so infrequently that it is very difficult to come up with statistics	 though	 since such small numbers are routinely zerod out by staticians in order to neaten things up. "	Find the frequency of reported pregnancy from rape in order to determine whether it is statistically significant.	192056	abortion1
171	"""During the seventeenth and eighteenth centuries	 between 1 percent and 1.5 percent of all births ended in the mother's death as a result of exhaustion	 dehydration	 infection	 hemorrhage	 or convulsions. "	what is the percent of mother deaths during birth are due to exhaustion	186774	abortion1
172	"Secondly	 the C-section is not any more dangerous than the partial birth-abortion. "	whether a c-section is more or less dangerous than partial birth abortion	55667	abortion1
173	"Cancer is also linked to abortion	 especially late term. "	the link between cancer and abortions	55667	abortion1
174	I would have strongly taken the side that a mind is necessary for a person to officially exist. A person is no more than what is in his mind. 	is a person no more than what is in his mind	20787	abortion1
175	All they talk about is abortion and in fact they do 93% abortions and 7% pre-natal care. 	what percent of Planned Parenthood's services are abortions	49433	abortion1
176	"If morals take place in indivdual's minds	 and are different from person to person	 they must not be absolute. "	are morals absolute	57673	abortion1
177	"hmmm	 so we can't really define what a human is huh? "	what is the definition of a human	187989	abortion1
178	"""Pregnancy"" is what happens to the woman's body	 and as such does not start until implantation. "	at what point of the birth process does pregnancy start	50449	abortion1
179	"Personally	 I don't consider a fetus to be a human life until such time as it could survive on its own with minimal assistance outside of the womb. "	at what stage is a fetus considered a human life	100743	abortion1
180	"However	 it was a Christian belief that abortion was wrong. "	what was the christian belief about abortion	50150	abortion1
181	its hurting our economy far more to have all these anti-abortion groups than it would to make it easier for people to adopt. 	Look for an adverse impact on the U.S. economy that anti-abortion groups cause in order to support or refute the claim that adoption would have less of an economic impact.	15970	abortion1
182	Hawking's ALS didn't develop until he was an adult. 	age when Steven Hawking received ALS diagnosis	29149	abortion1
183	"Also	 capital punishment is not systematically destroying any group of people. "	does capital punishment have effect on any one group more than others	570	abortion1
184	"There are statistcs out there that show the case of which you speak are relatively rare	 but your kind wants abortions for women that lay on their backs but don't want the responsibility. "	these statistics	78520	abortion1
185	":) A star dies	 the expelled material gradually condenses to a critical point and nuclear fusion occurs again. "	nuclear fusion when a star dies	50061	abortion1
186	The planets are just left over debris which was far enough away not to get dragged back into the sun but was still able to form on its own. 	how planets are formed	50061	abortion1
187	Did you know that Jupiter is a failed star? 	Jupiter as a star	50061	abortion1
188	"The Alpha Centari star system had been part of the same nebula as well as Tau Ceti and some other local star systems which gradually had drifted out of the stellar nursery	 which had been the nebula to where they are now. "	if Alpha Centauri and Tau Ceti originated in the same nebula	50061	abortion1
